id,value
Uniandes.Artes y humanidades.Maestría.Literatura,6714
Uniandes.Artes y humanidades.Maestría.Música,6714
Uniandes.Artes y humanidades.Maestría.Patrimonio cultural,743
Uniandes.Artes y humanidades.Maestría.Periodismo,743
Uniandes.Artes y humanidades.Doctorado,
Uniandes.Artes y humanidades.Doctorado.Literatura,3534
Uniandes.Ciencias,
Uniandes.Ciencias.Pregrado,
Uniandes.Ciencias.Pregrado.Biología,3938
Uniandes.Ciencias.Pregrado.Física,3812
Uniandes.Ciencias.Pregrado.Geociencias,3938
Uniandes.Ciencias.Pregrado.Matemáticas,3812
Uniandes.Ciencias.Pregrado.Microbiología,3938
Uniandes.Ciencias.Pregrado.Química,3938
Uniandes.Ciencias.Maestría,
Uniandes.Ciencias.Maestría.Ciencias-Física,6714
Uniandes.Ciencias.Maestría.Ciencias Biológicas,6714
Uniandes.Ciencias.Maestría.Matemáticas,743
Uniandes.Ciencias.Maestría.Química,6714
Uniandes.Ciencias.Doctorado,
Uniandes.Ciencias.Doctorado.Ciencias-Biología,3534
Uniandes.Ciencias.Doctorado.Ciencias-Física,3534
Uniandes.Ciencias.Doctorado.Matemáticas,3534
Uniandes.Ciencias.Doctorado.Ciencias-Química,3534
Uniandes.Ciencias Sociales,
Uniandes.Ciencias Sociales.Pregrado,
Uniandes.Ciencias Sociales.Pregrado.Antropología,3938
Uniandes.Ciencias Sociales.Pregrado.Ciencia política,3812
Uniandes.Ciencias Sociales.Pregrado.Filosofía,3938
Uniandes.Ciencias Sociales.Pregrado.Historia,3812
Uniandes.Ciencias Sociales.Pregrado.Lenguas y Cultura,3938
Uniandes.Ciencias Sociales.Pregrado.Psicología,3938
Uniandes.Ciencias Sociales.Maestría,
Uniandes.Ciencias Sociales.Maestría.Antropología,6714
Uniandes.Ciencias Sociales.Maestría.Ciencia política,6714
Uniandes.Ciencias Sociales.Maestría.Estudios culturales,743
Uniandes.Ciencias Sociales.Maestría.Estudios internacionales,6714
Uniandes.Ciencias Sociales.Maestría.Filosofía,6714
Uniandes.Ciencias Sociales.Maestría.Geografía,6714
Uniandes.Ciencias Sociales.Maestría.Historia,743
Uniandes.Ciencias Sociales.Maestría.Pedagogía de lenguas extranjeras,6714
Uniandes.Ciencias Sociales.Maestría.Psicología,6714
Uniandes.Ciencias Sociales.Maestría.Psicología clínica y de la salud,6714
Uniandes.Ciencias Sociales.Maestría.Sociología,743
Uniandes.Ciencias Sociales.Doctorado,
Uniandes.Ciencias Sociales.Doctorado.Antropología,3534
Uniandes.Ciencias Sociales.Doctorado.Ciencia política,3534
Uniandes.Ciencias Sociales.Doctorado.Filosofía,3534
Uniandes.Ciencias Sociales.Doctorado.Historia,3534
Uniandes.Ciencias Sociales.Doctorado.Psicología,3534
Uniandes.Derecho,
Uniandes.Derecho.Pregrado,
Uniandes.Derecho.Pregrado.Derecho,3938
Uniandes.Derecho.Especialización,
Uniandes.Derecho.Especialización.Derecho Comercial,3938
Uniandes.Derecho.Especialización.Legislación Financiera,3812
Uniandes.Derecho.Especialización.Gestión Pública e Instituciones Administrativas,3812
Uniandes.Derecho.Especialización.Tributación,123
Uniandes.Derecho.Especialización.Derecho de los Negocios Internacionales,3938
Uniandes.Derecho.Especialización.Derecho de la Empresa,3812
Uniandes.Derecho.Especialización.Derecho Minero-Energético y Desarrollo Sostenibles,3812
Uniandes.Derecho.Maestría,
Uniandes.Derecho.Maestría.Derecho,6714
Uniandes.Derecho.Maestría.Derecho Privado,6714
Uniandes.Derecho.Maestría.Derecho Público para la Gestión Administrativa,743
Uniandes.Derecho.Maestría.Derecho Internacional,6714
Uniandes.Derecho.Maestría.Propiedad Intelectual,6714
Uniandes.Derecho.Maestría.Derecho Gobierno y Gestión de la Justicia,6714
Uniandes.Derecho.Maestría.Tributación,743
Uniandes.Derecho.Doctorado,
Uniandes.Derecho.Doctorado.Derecho,3534
